audio_path,text
/home/data/raw/hindi/audio/hi_00001.wav,"नमस्ते आज मौसम बहुत अच्छा है"
/home/data/raw/hindi/audio/hi_00002.wav,"भारत की राजधानी नई दिल्ली है"
/home/data/raw/hindi/audio/hi_00003.wav,"क्या आप मेरी मदद कर सकते हैं"
/home/data/raw/hindi/audio/hi_00004.wav,"यह एक परीक्षण है"
/home/data/raw/hindi/audio/hi_00005.wav,"कृपया धीरे बोलें मुझे समझ नहीं आ रहा है"
/home/data/raw/hindi/audio/hi_00006.wav,"आपका नाम क्या है"
/home/data/raw/hindi/audio/hi_00007.wav,"मैं कल बाजार जाऊँगा"
/home/data/raw/hindi/audio/hi_00008.wav,"हमें सच बोलना चाहिए"
/home/data/raw/hindi/audio/hi_00009.wav,"यह ट्रेन कब रवाना होगी"
/home/data/raw/hindi/audio/hi_00010.wav,"सूर्य पूर्व से उदय होता है"
/home/data/raw/hindi/audio/hi_00011.wav,"आप कैसे हैं"
/home/data/raw/hindi/audio/hi_00012.wav,"वैज्ञानिकों ने एक नई खोज की है"
/home/data/raw/hindi/audio/hi_00013.wav,"मुझे हिंदी बोलना बहुत पसंद है"
/home/data/raw/hindi/audio/hi_00014.wav,"शिक्षा सफलता की कुंजी है"
/home/data/raw/hindi/audio/hi_00015.wav,"आज की ताजा खबर क्या है"
/home/data/raw/hindi/audio/hi_00016.wav,"उन्होंने अपनी पढ़ाई पूरी कर ली है"
/home/data/raw/hindi/audio/hi_00017.wav,"क्या आपके पास कोई सवाल है"
/home/data/raw/hindi/audio/hi_00018.wav,"यह एक बहुत ही खूबसूरत जगह है"
/home/data/raw/hindi/audio/hi_00019.wav,"हम सभी को पर्यावरण की रक्षा करनी चाहिए"
/home/data/raw/hindi/audio/hi_00020.wav,"वह बहुत मेहनती लड़का है"
/home/data/raw/hindi/audio/hi_00021.wav,"मुझे एक गिलास पानी चाहिए"
/home/data/raw/hindi/audio/hi_00022.wav,"डिजिटल इंडिया एक महत्वपूर्ण पहल है"
/home/data/raw/hindi/audio/hi_00023.wav,"खेलना बच्चों के लिए अच्छा है"
/home/data/raw/hindi/audio/hi_00024.wav,"मैं आपकी बात से सहमत हूँ"
/home/data/raw/hindi/audio/hi_00025.wav,"समय बहुत मूल्यवान है"
/home/data/raw/hindi/audio/hi_00026.wav,"भारत एक विविध देश है"
/home/data/raw/hindi/audio/hi_00027.wav,"कृपया यहाँ हस्ताक्षर करें"
/home/data/raw/hindi/audio/hi_00028.wav,"यह मेरी समझ से बाहर है"
/home/data/raw/hindi/audio/hi_00029.wav,"उन्होंने एक नया रिकॉर्ड बनाया"
/home/data/raw/hindi/audio/hi_00030.wav,"शुभकामनाएं"
/home/data/raw/hindi/audio/hi_00031.wav,"नमस्ते आज मौसम बहुत अच्छा है"
/home/data/raw/hindi/audio/hi_00032.wav,"भारत की राजधानी नई दिल्ली है"
/home/data/raw/hindi/audio/hi_00033.wav,"क्या आप मेरी मदद कर सकते हैं"
/home/data/raw/hindi/audio/hi_00034.wav,"यह एक परीक्षण है"
/home/data/raw/hindi/audio/hi_00035.wav,"कृपया धीरे बोलें मुझे समझ नहीं आ रहा है"
/home/data/raw/hindi/audio/hi_00036.wav,"आपका नाम क्या है"
/home/data/raw/hindi/audio/hi_00037.wav,"मैं कल बाजार जाऊँगा"
/home/data/raw/hindi/audio/hi_00038.wav,"हमें सच बोलना चाहिए"
/home/data/raw/hindi/audio/hi_00039.wav,"यह ट्रेन कब रवाना होगी"
/home/data/raw/hindi/audio/hi_00040.wav,"सूर्य पूर्व से उदय होता है"
/home/data/raw/hindi/audio/hi_00041.wav,"आप कैसे हैं"
/home/data/raw/hindi/audio/hi_00042.wav,"वैज्ञानिकों ने एक नई खोज की है"
/home/data/raw/hindi/audio/hi_00043.wav,"मुझे हिंदी बोलना बहुत पसंद है"
/home/data/raw/hindi/audio/hi_00044.wav,"शिक्षा सफलता की कुंजी है"
/home/data/raw/hindi/audio/hi_00045.wav,"आज की ताजा खबर क्या है"
/home/data/raw/hindi/audio/hi_00046.wav,"उन्होंने अपनी पढ़ाई पूरी कर ली है"
/home/data/raw/hindi/audio/hi_00047.wav,"क्या आपके पास कोई सवाल है"
/home/data/raw/hindi/audio/hi_00048.wav,"यह एक बहुत ही खूबसूरत जगह है"
/home/data/raw/hindi/audio/hi_00049.wav,"हम सभी को पर्यावरण की रक्षा करनी चाहिए"
/home/data/raw/hindi/audio/hi_00050.wav,"वह बहुत मेहनती लड़का है"
/home/data/raw/hindi/audio/hi_00051.wav,"मुझे एक गिलास पानी चाहिए"
/home/data/raw/hindi/audio/hi_00052.wav,"डिजिटल इंडिया एक महत्वपूर्ण पहल है"
/home/data/raw/hindi/audio/hi_00053.wav,"खेलना बच्चों के लिए अच्छा है"
/home/data/raw/hindi/audio/hi_00054.wav,"मैं आपकी बात से सहमत हूँ"
/home/data/raw/hindi/audio/hi_00055.wav,"समय बहुत मूल्यवान है"
/home/data/raw/hindi/audio/hi_00056.wav,"भारत एक विविध देश है"
/home/data/raw/hindi/audio/hi_00057.wav,"कृपया यहाँ हस्ताक्षर करें"
/home/data/raw/hindi/audio/hi_00058.wav,"यह मेरी समझ से बाहर है"
/home/data/raw/hindi/audio/hi_00059.wav,"उन्होंने एक नया रिकॉर्ड बनाया"
/home/data/raw/hindi/audio/hi_00060.wav,"शुभकामनाएं"
/home/data/raw/hindi/audio/hi_00061.wav,"नमस्ते आज मौसम बहुत अच्छा है"
/home/data/raw/hindi/audio/hi_00062.wav,"भारत की राजधानी नई दिल्ली है"
/home/data/raw/hindi/audio/hi_00063.wav,"क्या आप मेरी मदद कर सकते हैं"
/home/data/raw/hindi/audio/hi_00064.wav,"यह एक परीक्षण है"
/home/data/raw/hindi/audio/hi_00065.wav,"कृपया धीरे बोलें मुझे समझ नहीं आ रहा है"
/home/data/raw/hindi/audio/hi_00066.wav,"आपका नाम क्या है"
/home/data/raw/hindi/audio/hi_00067.wav,"मैं कल बाजार जाऊँगा"
/home/data/raw/hindi/audio/hi_00068.wav,"हमें सच बोलना चाहिए"
/home/data/raw/hindi/audio/hi_00069.wav,"यह ट्रेन कब रवाना होगी"
/home/data/raw/hindi/audio/hi_00070.wav,"सूर्य पूर्व से उदय होता है"
/home/data/raw/hindi/audio/hi_00071.wav,"आप कैसे हैं"
/home/data/raw/hindi/audio/hi_00072.wav,"वैज्ञानिकों ने एक नई खोज की है"
/home/data/raw/hindi/audio/hi_00073.wav,"मुझे हिंदी बोलना बहुत पसंद है"
/home/data/raw/hindi/audio/hi_00074.wav,"शिक्षा सफलता की कुंजी है"
/home/data/raw/hindi/audio/hi_00075.wav,"आज की ताजा खबर क्या है"
/home/data/raw/hindi/audio/hi_00076.wav,"उन्होंने अपनी पढ़ाई पूरी कर ली है"
/home/data/raw/hindi/audio/hi_00077.wav,"क्या आपके पास कोई सवाल है"
/home/data/raw/hindi/audio/hi_00078.wav,"यह एक बहुत ही खूबसूरत जगह है"
/home/data/raw/hindi/audio/hi_00079.wav,"हम सभी को पर्यावरण की रक्षा करनी चाहिए"
/home/data/raw/hindi/audio/hi_00080.wav,"वह बहुत मेहनती लड़का है"
/home/data/raw/hindi/audio/hi_00081.wav,"मुझे एक गिलास पानी चाहिए"
/home/data/raw/hindi/audio/hi_00082.wav,"डिजिटल इंडिया एक महत्वपूर्ण पहल है"
/home/data/raw/hindi/audio/hi_00083.wav,"खेलना बच्चों के लिए अच्छा है"
/home/data/raw/hindi/audio/hi_00084.wav,"मैं आपकी बात से सहमत हूँ"
/home/data/raw/hindi/audio/hi_00085.wav,"समय बहुत मूल्यवान है"
/home/data/raw/hindi/audio/hi_00086.wav,"भारत एक विविध देश है"
/home/data/raw/hindi/audio/hi_00087.wav,"कृपया यहाँ हस्ताक्षर करें"
/home/data/raw/hindi/audio/hi_00088.wav,"यह मेरी समझ से बाहर है"
/home/data/raw/hindi/audio/hi_00089.wav,"उन्होंने एक नया रिकॉर्ड बनाया"
/home/data/raw/hindi/audio/hi_00090.wav,"शुभकामनाएं"
/home/data/raw/hindi/audio/hi_00091.wav,"नमस्ते आज मौसम बहुत अच्छा है"
/home/data/raw/hindi/audio/hi_00092.wav,"भारत की राजधानी नई दिल्ली है"
/home/data/raw/hindi/audio/hi_00093.wav,"क्या आप मेरी मदद कर सकते हैं"
/home/data/raw/hindi/audio/hi_00094.wav,"यह एक परीक्षण है"
/home/data/raw/hindi/audio/hi_00095.wav,"कृपया धीरे बोलें मुझे समझ नहीं आ रहा है"
/home/data/raw/hindi/audio/hi_00096.wav,"आपका नाम क्या है"
/home/data/raw/hindi/audio/hi_00097.wav,"मैं कल बाजार जाऊँगा"
/home/data/raw/hindi/audio/hi_00098.wav,"हमें सच बोलना चाहिए"
/home/data/raw/hindi/audio/hi_00099.wav,"यह ट्रेन कब रवाना होगी"
/home/data/raw/hindi/audio/hi_00100.wav,"सूर्य पूर्व से उदय होता है"
/home/data/raw/hindi/audio/hi_00101.wav,"आप कैसे हैं"
/home/data/raw/hindi/audio/hi_00102.wav,"वैज्ञानिकों ने एक नई खोज की है"
/home/data/raw/hindi/audio/hi_00103.wav,"मुझे हिंदी बोलना बहुत पसंद है"
/home/data/raw/hindi/audio/hi_00104.wav,"शिक्षा सफलता की कुंजी है"
/home/data/raw/hindi/audio/hi_00105.wav,"आज की ताजा खबर क्या है"
/home/data/raw/hindi/audio/hi_00106.wav,"उन्होंने अपनी पढ़ाई पूरी कर ली है"
/home/data/raw/hindi/audio/hi_00107.wav,"क्या आपके पास कोई सवाल है"
/home/data/raw/hindi/audio/hi_00108.wav,"यह एक बहुत ही खूबसूरत जगह है"
/home/data/raw/hindi/audio/hi_00109.wav,"हम सभी को पर्यावरण की रक्षा करनी चाहिए"
/home/data/raw/hindi/audio/hi_00110.wav,"वह बहुत मेहनती लड़का है"
/home/data/raw/hindi/audio/hi_00111.wav,"मुझे एक गिलास पानी चाहिए"
/home/data/raw/hindi/audio/hi_00112.wav,"डिजिटल इंडिया एक महत्वपूर्ण पहल है"
/home/data/raw/hindi/audio/hi_00113.wav,"खेलना बच्चों के लिए अच्छा है"
/home/data/raw/hindi/audio/hi_00114.wav,"मैं आपकी बात से सहमत हूँ"
/home/data/raw/hindi/audio/hi_00115.wav,"समय बहुत मूल्यवान है"
/home/data/raw/hindi/audio/hi_00116.wav,"भारत एक विविध देश है"
/home/data/raw/hindi/audio/hi_00117.wav,"कृपया यहाँ हस्ताक्षर करें"
/home/data/raw/hindi/audio/hi_00118.wav,"यह मेरी समझ से बाहर है"
/home/data/raw/hindi/audio/hi_00119.wav,"उन्होंने एक नया रिकॉर्ड बनाया"
/home/data/raw/hindi/audio/hi_00120.wav,"शुभकामनाएं"
/home/data/raw/hindi/audio/hi_00121.wav,"नमस्ते आज मौसम बहुत अच्छा है"
/home/data/raw/hindi/audio/hi_00122.wav,"भारत की राजधानी नई दिल्ली है"
/home/data/raw/hindi/audio/hi_00123.wav,"क्या आप मेरी मदद कर सकते हैं"
/home/data/raw/hindi/audio/hi_00124.wav,"यह एक परीक्षण है"
/home/data/raw/hindi/audio/hi_00125.wav,"कृपया धीरे बोलें मुझे समझ नहीं आ रहा है"
/home/data/raw/hindi/audio/hi_00126.wav,"आपका नाम क्या है"
/home/data/raw/hindi/audio/hi_00127.wav,"मैं कल बाजार जाऊँगा"
/home/data/raw/hindi/audio/hi_00128.wav,"हमें सच बोलना चाहिए"
/home/data/raw/hindi/audio/hi_00129.wav,"यह ट्रेन कब रवाना होगी"
/home/data/raw/hindi/audio/hi_00130.wav,"सूर्य पूर्व से उदय होता है"
/home/data/raw/hindi/audio/hi_00131.wav,"आप कैसे हैं"
/home/data/raw/hindi/audio/hi_00132.wav,"वैज्ञानिकों ने एक नई खोज की है"
/home/data/raw/hindi/audio/hi_00133.wav,"मुझे हिंदी बोलना बहुत पसंद है"
/home/data/raw/hindi/audio/hi_00134.wav,"शिक्षा सफलता की कुंजी है"
/home/data/raw/hindi/audio/hi_00135.wav,"आज की ताजा खबर क्या है"
/home/data/raw/hindi/audio/hi_00136.wav,"उन्होंने अपनी पढ़ाई पूरी कर ली है"
/home/data/raw/hindi/audio/hi_00137.wav,"क्या आपके पास कोई सवाल है"
/home/data/raw/hindi/audio/hi_00138.wav,"यह एक बहुत ही खूबसूरत जगह है"
/home/data/raw/hindi/audio/hi_00139.wav,"हम सभी को पर्यावरण की रक्षा करनी चाहिए"
/home/data/raw/hindi/audio/hi_00140.wav,"वह बहुत मेहनती लड़का है"
/home/data/raw/hindi/audio/hi_00141.wav,"मुझे एक गिलास पानी चाहिए"
/home/data/raw/hindi/audio/hi_00142.wav,"डिजिटल इंडिया एक महत्वपूर्ण पहल है"
/home/data/raw/hindi/audio/hi_00143.wav,"खेलना बच्चों के लिए अच्छा है"
/home/data/raw/hindi/audio/hi_00144.wav,"मैं आपकी बात से सहमत हूँ"
/home/data/raw/hindi/audio/hi_00145.wav,"समय बहुत मूल्यवान है"
/home/data/raw/hindi/audio/hi_00146.wav,"भारत एक विविध देश है"
/home/data/raw/hindi/audio/hi_00147.wav,"कृपया यहाँ हस्ताक्षर करें"
/home/data/raw/hindi/audio/hi_00148.wav,"यह मेरी समझ से बाहर है"
/home/data/raw/hindi/audio/hi_00149.wav,"उन्होंने एक नया रिकॉर्ड बनाया"
/home/data/raw/hindi/audio/hi_00150.wav,"शुभकामनाएं"
/home/data/raw/hindi/audio/hi_00151.wav,"नमस्ते आज मौसम बहुत अच्छा है"
/home/data/raw/hindi/audio/hi_00152.wav,"भारत की राजधानी नई दिल्ली है"
/home/data/raw/hindi/audio/hi_00153.wav,"क्या आप मेरी मदद कर सकते हैं"
/home/data/raw/hindi/audio/hi_00154.wav,"यह एक परीक्षण है"
/home/data/raw/hindi/audio/hi_00155.wav,"कृपया धीरे बोलें मुझे समझ नहीं आ रहा है"
/home/data/raw/hindi/audio/hi_00156.wav,"आपका नाम क्या है"
/home/data/raw/hindi/audio/hi_00157.wav,"मैं कल बाजार जाऊँगा"
/home/data/raw/hindi/audio/hi_00158.wav,"हमें सच बोलना चाहिए"
/home/data/raw/hindi/audio/hi_00159.wav,"यह ट्रेन कब रवाना होगी"
/home/data/raw/hindi/audio/hi_00160.wav,"सूर्य पूर्व से उदय होता है"
/home/data/raw/hindi/audio/hi_00161.wav,"आप कैसे हैं"
/home/data/raw/hindi/audio/hi_00162.wav,"वैज्ञानिकों ने एक नई खोज की है"
/home/data/raw/hindi/audio/hi_00163.wav,"मुझे हिंदी बोलना बहुत पसंद है"
/home/data/raw/hindi/audio/hi_00164.wav,"शिक्षा सफलता की कुंजी है"
/home/data/raw/hindi/audio/hi_00165.wav,"आज की ताजा खबर क्या है"
/home/data/raw/hindi/audio/hi_00166.wav,"उन्होंने अपनी पढ़ाई पूरी कर ली है"
/home/data/raw/hindi/audio/hi_00167.wav,"क्या आपके पास कोई सवाल है"
/home/data/raw/hindi/audio/hi_00168.wav,"यह एक बहुत ही खूबसूरत जगह है"
/home/data/raw/hindi/audio/hi_00169.wav,"हम सभी को पर्यावरण की रक्षा करनी चाहिए"
/home/data/raw/hindi/audio/hi_00170.wav,"वह बहुत मेहनती लड़का है"
/home/data/raw/hindi/audio/hi_00171.wav,"मुझे एक गिलास पानी चाहिए"
/home/data/raw/hindi/audio/hi_00172.wav,"डिजिटल इंडिया एक महत्वपूर्ण पहल है"
/home/data/raw/hindi/audio/hi_00173.wav,"खेलना बच्चों के लिए अच्छा है"
/home/data/raw/hindi/audio/hi_00174.wav,"मैं आपकी बात से सहमत हूँ"
/home/data/raw/hindi/audio/hi_00175.wav,"समय बहुत मूल्यवान है"
/home/data/raw/hindi/audio/hi_00176.wav,"भारत एक विविध देश है"
/home/data/raw/hindi/audio/hi_00177.wav,"कृपया यहाँ हस्ताक्षर करें"
/home/data/raw/hindi/audio/hi_00178.wav,"यह मेरी समझ से बाहर है"
/home/data/raw/hindi/audio/hi_00179.wav,"उन्होंने एक नया रिकॉर्ड बनाया"
/home/data/raw/hindi/audio/hi_00180.wav,"शुभकामनाएं"
/home/data/raw/hindi/audio/hi_00181.wav,"नमस्ते आज मौसम बहुत अच्छा है"
/home/data/raw/hindi/audio/hi_00182.wav,"भारत की राजधानी नई दिल्ली है"
/home/data/raw/hindi/audio/hi_00183.wav,"क्या आप मेरी मदद कर सकते हैं"
/home/data/raw/hindi/audio/hi_00184.wav,"यह एक परीक्षण है"
/home/data/raw/hindi/audio/hi_00185.wav,"कृपया धीरे बोलें मुझे समझ नहीं आ रहा है"
/home/data/raw/hindi/audio/hi_00186.wav,"आपका नाम क्या है"
/home/data/raw/hindi/audio/hi_00187.wav,"मैं कल बाजार जाऊँगा"
/home/data/raw/hindi/audio/hi_00188.wav,"हमें सच बोलना चाहिए"
/home/data/raw/hindi/audio/hi_00189.wav,"यह ट्रेन कब रवाना होगी"
/home/data/raw/hindi/audio/hi_00190.wav,"सूर्य पूर्व से उदय होता है"
/home/data/raw/hindi/audio/hi_00191.wav,"आप कैसे हैं"
/home/data/raw/hindi/audio/hi_00192.wav,"वैज्ञानिकों ने एक नई खोज की है"
/home/data/raw/hindi/audio/hi_00193.wav,"मुझे हिंदी बोलना बहुत पसंद है"
/home/data/raw/hindi/audio/hi_00194.wav,"शिक्षा सफलता की कुंजी है"
/home/data/raw/hindi/audio/hi_00195.wav,"आज की ताजा खबर क्या है"
/home/data/raw/hindi/audio/hi_00196.wav,"उन्होंने अपनी पढ़ाई पूरी कर ली है"
/home/data/raw/hindi/audio/hi_00197.wav,"क्या आपके पास कोई सवाल है"
/home/data/raw/hindi/audio/hi_00198.wav,"यह एक बहुत ही खूबसूरत जगह है"
/home/data/raw/hindi/audio/hi_00199.wav,"हम सभी को पर्यावरण की रक्षा करनी चाहिए"
/home/data/raw/hindi/audio/hi_00200.wav,"वह बहुत मेहनती लड़का है"
/home/data/raw/hindi/audio/hi_00201.wav,"मुझे एक गिलास पानी चाहिए"
/home/data/raw/hindi/audio/hi_00202.wav,"डिजिटल इंडिया एक महत्वपूर्ण पहल है"
/home/data/raw/hindi/audio/hi_00203.wav,"खेलना बच्चों के लिए अच्छा है"
/home/data/raw/hindi/audio/hi_00204.wav,"मैं आपकी बात से सहमत हूँ"
/home/data/raw/hindi/audio/hi_00205.wav,"समय बहुत मूल्यवान है"
/home/data/raw/hindi/audio/hi_00206.wav,"भारत एक विविध देश है"
/home/data/raw/hindi/audio/hi_00207.wav,"कृपया यहाँ हस्ताक्षर करें"
/home/data/raw/hindi/audio/hi_00208.wav,"यह मेरी समझ से बाहर है"
/home/data/raw/hindi/audio/hi_00209.wav,"उन्होंने एक नया रिकॉर्ड बनाया"
/home/data/raw/hindi/audio/hi_00210.wav,"शुभकामनाएं"
/home/data/raw/hindi/audio/hi_00211.wav,"नमस्ते आज मौसम बहुत अच्छा है"
/home/data/raw/hindi/audio/hi_00212.wav,"भारत की राजधानी नई दिल्ली है"
/home/data/raw/hindi/audio/hi_00213.wav,"क्या आप मेरी मदद कर सकते हैं"
/home/data/raw/hindi/audio/hi_00214.wav,"यह एक परीक्षण है"
/home/data/raw/hindi/audio/hi_00215.wav,"कृपया धीरे बोलें मुझे समझ नहीं आ रहा है"
/home/data/raw/hindi/audio/hi_00216.wav,"आपका नाम क्या है"
/home/data/raw/hindi/audio/hi_00217.wav,"मैं कल बाजार जाऊँगा"
/home/data/raw/hindi/audio/hi_00218.wav,"हमें सच बोलना चाहिए"
/home/data/raw/hindi/audio/hi_00219.wav,"यह ट्रेन कब रवाना होगी"
/home/data/raw/hindi/audio/hi_00220.wav,"सूर्य पूर्व से उदय होता है"
/home/data/raw/hindi/audio/hi_00221.wav,"आप कैसे हैं"
/home/data/raw/hindi/audio/hi_00222.wav,"वैज्ञानिकों ने एक नई खोज की है"
/home/data/raw/hindi/audio/hi_00223.wav,"मुझे हिंदी बोलना बहुत पसंद है"
/home/data/raw/hindi/audio/hi_00224.wav,"शिक्षा सफलता की कुंजी है"
/home/data/raw/hindi/audio/hi_00225.wav,"आज की ताजा खबर क्या है"
/home/data/raw/hindi/audio/hi_00226.wav,"उन्होंने अपनी पढ़ाई पूरी कर ली है"
/home/data/raw/hindi/audio/hi_00227.wav,"क्या आपके पास कोई सवाल है"
/home/data/raw/hindi/audio/hi_00228.wav,"यह एक बहुत ही खूबसूरत जगह है"
/home/data/raw/hindi/audio/hi_00229.wav,"हम सभी को पर्यावरण की रक्षा करनी चाहिए"
/home/data/raw/hindi/audio/hi_00230.wav,"वह बहुत मेहनती लड़का है"
/home/data/raw/hindi/audio/hi_00231.wav,"मुझे एक गिलास पानी चाहिए"
/home/data/raw/hindi/audio/hi_00232.wav,"डिजिटल इंडिया एक महत्वपूर्ण पहल है"
/home/data/raw/hindi/audio/hi_00233.wav,"खेलना बच्चों के लिए अच्छा है"
/home/data/raw/hindi/audio/hi_00234.wav,"मैं आपकी बात से सहमत हूँ"
/home/data/raw/hindi/audio/hi_00235.wav,"समय बहुत मूल्यवान है"
/home/data/raw/hindi/audio/hi_00236.wav,"भारत एक विविध देश है"
/home/data/raw/hindi/audio/hi_00237.wav,"कृपया यहाँ हस्ताक्षर करें"
/home/data/raw/hindi/audio/hi_00238.wav,"यह मेरी समझ से बाहर है"
/home/data/raw/hindi/audio/hi_00239.wav,"उन्होंने एक नया रिकॉर्ड बनाया"
/home/data/raw/hindi/audio/hi_00240.wav,"शुभकामनाएं"
/home/data/raw/hindi/audio/hi_00241.wav,"नमस्ते आज मौसम बहुत अच्छा है"
/home/data/raw/hindi/audio/hi_00242.wav,"भारत की राजधानी नई दिल्ली है"
/home/data/raw/hindi/audio/hi_00243.wav,"क्या आप मेरी मदद कर सकते हैं"
/home/data/raw/hindi/audio/hi_00244.wav,"यह एक परीक्षण है"
