audio_path,text
/home/data/raw/bengali/audio/bn_00001.wav,"হ্যালো আজ আবহাওয়া খুব ভালো"
/home/data/raw/bengali/audio/bn_00002.wav,"ভারতের রাজধানী নতুন দিল্লি"
/home/data/raw/bengali/audio/bn_00003.wav,"আপনি কি আমাকে সাহায্য করতে পারেন"
/home/data/raw/bengali/audio/bn_00004.wav,"এটি একটি পরীক্ষা"
/home/data/raw/bengali/audio/bn_00005.wav,"দয়া করে ধীরে বলুন আমি বুঝতে পারছি না"
/home/data/raw/bengali/audio/bn_00006.wav,"আপনার নাম কি"
/home/data/raw/bengali/audio/bn_00007.wav,"আমি কাল বাজারে যাব"
/home/data/raw/bengali/audio/bn_00008.wav,"আমাদের সত্য কথা বলা উচিত"
/home/data/raw/bengali/audio/bn_00009.wav,"এই ট্রেনটি কখন ছাড়বে"
/home/data/raw/bengali/audio/bn_00010.wav,"সূর্য পূর্ব দিকে ওঠে"
/home/data/raw/bengali/audio/bn_00011.wav,"আপনি কেমন আছেন"
/home/data/raw/bengali/audio/bn_00012.wav,"বিজ্ঞানীরা একটি নতুন আবিষ্কার করেছেন"
/home/data/raw/bengali/audio/bn_00013.wav,"আমি বাংলা বলতে খুব ভালোবাসি"
/home/data/raw/bengali/audio/bn_00014.wav,"শিক্ষাই সাফল্যের চাবিকাঠি"
/home/data/raw/bengali/audio/bn_00015.wav,"আজকের তাজা খবর কি"
/home/data/raw/bengali/audio/bn_00016.wav,"তিনি তার পড়াশোনা শেষ করেছেন"
/home/data/raw/bengali/audio/bn_00017.wav,"আপনার কি কোন প্রশ্ন আছে"
/home/data/raw/bengali/audio/bn_00018.wav,"এটি একটি খুব সুন্দর জায়গা"
/home/data/raw/bengali/audio/bn_00019.wav,"আমাদের সকলের পরিবেশ রক্ষা করা উচিত"
/home/data/raw/bengali/audio/bn_00020.wav,"সে খুব পরিশ্রমী ছেলে"
/home/data/raw/bengali/audio/bn_00021.wav,"আমার এক গ্লাস জল দরকার"
/home/data/raw/bengali/audio/bn_00022.wav,"ডিজিটাল ইন্ডিয়া একটি গুরুত্বপূর্ণ উদ্যোগ"
/home/data/raw/bengali/audio/bn_00023.wav,"খেলাধুলা শিশুদের জন্য ভালো"
/home/data/raw/bengali/audio/bn_00024.wav,"আমি আপনার সাথে একমত"
/home/data/raw/bengali/audio/bn_00025.wav,"সময় খুব মূল্যবান"
/home/data/raw/bengali/audio/bn_00026.wav,"ভারত একটি বৈচিত্র্যময় দেশ"
/home/data/raw/bengali/audio/bn_00027.wav,"দয়া করে এখানে সই করুন"
/home/data/raw/bengali/audio/bn_00028.wav,"এটা আমার বোঝার বাইরে"
/home/data/raw/bengali/audio/bn_00029.wav,"তিনি একটি নতুন রেকর্ড করেছেন"
/home/data/raw/bengali/audio/bn_00030.wav,"শুভেচ্ছা"
/home/data/raw/bengali/audio/bn_00031.wav,"হ্যালো আজ আবহাওয়া খুব ভালো"
/home/data/raw/bengali/audio/bn_00032.wav,"ভারতের রাজধানী নতুন দিল্লি"
/home/data/raw/bengali/audio/bn_00033.wav,"আপনি কি আমাকে সাহায্য করতে পারেন"
/home/data/raw/bengali/audio/bn_00034.wav,"এটি একটি পরীক্ষা"
